,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Anchorage,61.22,-149.9,-6.0,26,1,4.18,US,1604370751
1,Eagle River,45.92,-89.24,5.0,56,1,2.1,US,1604370712
2,Fairbanks,64.84,-147.72,-25.0,75,20,0.59,US,1604370756
3,Homer,59.64,-151.55,-3.0,23,75,2.1,US,1604370929
4,Juneau,58.3,-134.42,-2.0,92,90,0.92,US,1604370647
5,Ketchikan,55.34,-131.65,9.0,93,90,5.7,US,1604370930
6,Saint Paul Harbor,57.79,-152.41,-3.0,49,1,5.1,US,1604370930
7,North Pole,64.75,-147.35,-25.0,69,75,0.44,US,1604370930
8,Palmer,42.16,-72.33,1.0,55,20,3.1,US,1604370930
9,Seward,40.91,-97.1,12.78,45,0,2.75,US,1604370930
10,Soldotna,60.49,-151.06,-3.33,29,1,3.1,US,1604370930
11,Wasilla,61.58,-149.44,-7.0,37,1,10.8,US,1604370930
12,Alabaster,33.24,-86.82,6.67,75,1,1.51,US,1604370930
13,Athens,37.98,23.72,17.22,87,20,1.32,GR,1604370640
14,Auburn,47.31,-122.23,14.0,58,75,3.1,US,1604370915
15,Bessemer,33.4,-86.95,7.22,64,0,1.56,US,1604370698
16,Birmingham,33.52,-86.8,7.22,54,1,1.73,US,1604370919
17,Cullman,34.17,-86.84,3.89,86,1,1.09,US,1604370705
18,Daphne,30.6,-87.9,13.0,50,1,1.5,US,1604370931
19,Decatur,39.84,-88.95,7.22,55,1,3.6,US,1604370931
20,Dothan,31.22,-85.39,10.0,66,1,2.1,US,1604370929
21,Florence,43.77,11.25,15.0,93,75,1.0,IT,1604370787
22,Foley,30.41,-87.68,13.89,65,0,4.59,US,1604370724
23,Fultondale,33.6,-86.79,7.22,58,1,1.51,US,1604370931
24,Gadsden,34.01,-86.01,3.0,86,1,1.3,US,1604370932
25,Gardendale,33.66,-86.81,7.0,63,1,1.32,US,1604370932
26,Gulf Shores,30.25,-87.7,13.89,53,0,3.13,US,1604370932
27,Homewood,33.47,-86.8,7.22,55,1,1.75,US,1604370932
28,Hoover,33.41,-86.81,7.22,57,1,1.68,US,1604370932
29,Huntsville,34.73,-86.59,6.11,64,1,0.57,US,1604370905
30,Madison,34.73,-86.57,6.11,64,1,0.57,US,1604370901
31,Mobile,30.78,-88.2,11.11,53,1,4.1,US,1604370662
32,Montgomery,39.15,-77.2,6.11,35,1,5.1,US,1604370807
33,Mountain Brook,33.5,-86.75,7.22,51,1,1.86,US,1604370933
34,Opelika,32.65,-85.38,8.0,68,1,2.1,US,1604370767
35,Orange Beach,30.29,-87.57,14.44,54,0,3.13,US,1604370933
36,Oxford,51.75,-1.26,6.11,87,63,4.6,GB,1604370843
37,Prattville,32.46,-86.46,7.0,93,1,1.84,US,1604370933
38,Spanish Fort,30.67,-87.92,13.0,56,1,4.1,US,1604370768
39,Trussville,33.62,-86.61,7.0,65,1,1.33,US,1604370933
